label,peak_performance_ops_per_s,power_w,form_factor,inference_or_training
Achronix,8.60E+13,300,Card,inference
Adaptiva,2.05E+12,29.26,Chip,inference
Aimotive,1.00E+14,25,Chip,inference
AIStorm,2.50E+12,0.225,Chip,inference
Alibaba,3.14252E+14,157.126,Card,inference
AlphaIC,6.00E+13,40,System,inference
AlphaIC,3.00E+13,3,Chip,inference
AWSi1,6.33E+13,200,Card,inference
AWSi2,3.80E+14,300,Card,inference
AWSt1,1.90E+14,300,Card,training
AMD-MI8,8.19E+12,150,Card,inference
AMD-MI60,2.95E+13,300,Card,training
AMD-MI100,9.23E+13,300,Card,training
AMD-MI210,1.81E+14,300,Card,training
AMD-MI250,3.62E+14,550,Card,training
AMD-MI300X,7.66E+14,700,Card,training
AMD-MI325X,2.61E+15,1000,Card,training
AMD-MI350X,4.60E+15,1000,Card,training
AMD-MI355X,5.00E+15,1400,Card,training
Ethos,4.10E+12,0.8,Chip,inference
AML100,4.00E+11,0.02,Chip,inference
AML200,2.00E+12,0.1,Chip,inference
Axelera,3.91E+13,2.79,Chip,inference
Baidu-K1,6.40E+13,160,Chip,training
Baidu-K2,1.92E+14,120,Chip,training
br100,1.02E+15,550,Card,training
br104,5.12E+14,300,Card,training
Bitmain,1.00E+12,2.5,Chip,inference
Blaize,1.60E+12,7,Card,inference
Cambricon,6.40E+13,80,Card,training
Cambricon,1.28E+14,80,Card,inference
Cambricon-M5,5.12E+14,350,Card,inference
Cambricon-X8,9.60E+13,250,Card,training
Kendryte,2.30E+11,0.3,Chip,inference
CS-1,2.65E+15,15000,System,training
CS-2,6.25E+15,23000,System,training
CS-3,1.25E+16,23000,System,training
HyperX,6.60E+12,8,Chip,inference
Cornami,4.18792E+14,30,Chip,training
d-Matrix,2.40E+15,600,Card,inference
Enflame,8.00E+13,225,Card,training
ES-1,5.00E+14,120,Card,inference
FlexLogix,7.64E+12,13.5,Chip,inference
FuriosaRNGD,5.12E+14,150,Card,inference
TPUedge,4.00E+12,2,System,inference
TPU1,9.20E+13,75,Chip,inference
TPU2,4.50E+13,280,Chip,training
TPU3,1.23E+14,450,Chip,training
TPU4i,1.38E+14,175,Chip,training
TPU4,2.75E+14,192,Chip,training
TPU5e,3.93E+14,225,Chip,training
TPU5p,4.59E+14,537,Chip,training
TPU6e,9.18E+14,383,Chip,training
TPU7,2.31E+15,959,Chip,training
GraphCore,1.25E+14,300,Card,training
GraphCoreNode,1.60E+15,2400,System,training
GraphCore2,2.50E+14,300,Card,training
GraphCoreBow,3.50E+14,300,Card,training
GAP8,2.27E+10,0.10,Chip,inference
GAP9,1.51E+11,0.64,Chip,inference
GroqNode,1.50E+15,3300,System,training
GroqNode,6.00E+15,3300,System,inference
Groq,2.05E+14,300,Card,training
Groq,8.20E+14,300,Card,inference
Gyrfalcon,2.80E+12,0.224,Chip,inference
GyrfalconServer,2.15E+15,900,System,inference
Hailo-8,2.688E+12,9.3,Chip,inference
Hailo-15,2.00E+13,2,Chip,inference
Journey2,4.00E+12,2,Chip,inference
Ascend-310,8.00E+12,8,Card,training
Ascend-310,1.60E+13,8,Card,inference
Ascend-910A,3.20E+14,350,Card,training
Ascend-910A,6.40E+14,350,Card,inference
Ascend-910B,2.00E+14,400,Card,training
Ascend-910C,2.56E+14,600,Card,training
TrueNorth,1.89E+12,0.5,System,inference
TrueNorthSys,1.89E+12,44,System,inference
NorthPole,2.56E+14,44,Chip,inference
Spyre,3.00E+14,75,Card,inference
NeuFlow,3.20E+11,10,Chip,inference
DaDianNao,5.59E+12,15.97,Chip,inference
DianNao,4.52E+11,0.485,Chip,inference
PuDianNao,1.06E+12,0.596,Chip,inference
ShiDianNao,1.94E+11,0.32,Chip,inference
Arria,2.83E+14,85,Chip,training
EyeQ5,1.20E+13,5,Chip,inference
MovidiusX,1.00E+12,2,Chip,inference
Intel-Xe-HPC,3.60E+14,600,Card,training
Flex140,1.05E+14,75,Card,inference
Flex170,2.56E+14,150,Card,inference
Nervana1,3.80E+13,210,Card,training
Nervana2,1.20E+14,210,Card,inference
2xXeon8180,4.48E+12,205,Chip,training
2xXeon8280,3.87E+13,205,Chip,inference
Gaudi,5.00E+13,200,Card,training
Goya,1.00E+14,150,Card,inference
Gaudi2,4.32E+14,600,Card,inference
Gaudi3,1.84E+15,900,Card,inference
Kalray,3.00E+12,20,Chip,inference
Kalray,1.00E+12,20,Chip,inference
Kalray,2.40E+13,20,Chip,inference
KL520,3.00E+11,0.5,Chip,inference
KL720,1.40E+12,1.556,Chip,inference
Maxim,5.60E+10,0.028,Chip,inference
MX3,5.00E+12,1.000,Chip,inference
MTIA,1.02E+14,35,Card,inference
MTIA2i,3.54E+14,85,Card,inference
Brainwave,2.00E+12,150,Chip,inference
Eyeriss,6.72E+10,0.278,Chip,inference
Netcast,1.00E+13,0.001,Chip,inference
MTT-S50,2.08E+13,85,Chip,inference
MTT-S2000,4.24E+13,150,Chip,inference
Mythic76,2.50E+13,3,Chip,inference
Mythic108,3.50E+13,4,Chip,inference
NeuChipsRaptor,2.00E+14,55,Card,inference
NovuMind,1.50E+13,15,Chip,inference
A10,1.25E+14,150,Card,inference
A100,3.12E+14,400,Card,training
A800,2.18E+14,300,Card,training
A30,1.65E+14,165,Card,inference
A40,1.50E+14,300,Card,inference
B100,3.50E+15,700,Card,training
B200,4.50E+15,1000,Card,training
DGX-Station,4.80E+14,1500,System,training
DGX-1,9.00E+14,3500,System,training
DGX-2,1.92E+15,10000,System,training
DGX-A100,5.00E+15,6500,System,training
DGX-H100,1.60E+16,10200,System,training
HGX-B200,3.50E+16,14300,System,training
H100,8.00E+14,350,Card,training
H100SXM,1.00E+15,700,Card,training
H100NVL,1.00E+15,400,Card,training
H800SXM,9.89E+14,700,Card,training
H800,7.57E+14,350,Card,training
H200SXM,1.67E+15,600,Card,training
H200NVL,1.98E+15,700,Card,training
H20,1.48E+14,275,Card,training
XavierAGX,1.10E+13,30,System,training
XavierAGX,3.20E+13,30,System,inference
OrinNX,5.00E+13,25,System,inference
OrinAGX,1.38E+14,60,System,inference
Jetson1,4.08E+11,11.7,System,inference
Jetson2,5.80E+11,12.8,System,inference
XavierNX,6.00E+12,15,System,inference
XavierNX,2.10E+13,15,System,inference
AGX-L2,2.00E+14,45,System,inference
AGX-L5,2.00E+15,800,System,inference
L4,2.43E+14,72,Card,inference
L40,9.05E+13,300,Card,training
L40S,7.33E+14,350,Card,inference
P100,2.12E+13,300,Card,training
T4,1.31E+14,150,Card,inference
V100,1.25E+14,300,Card,training
Perceive,4.00E+12,7.27E-02,Chip,inference
PEZY-SC2,8.19E+12,546.13,System,training
MN-C1,5.24E+14,500,Card,training
MN-C2,3.93E+14,330,Card,training
Quadric,6.24E+12,12,Chip,inference
Qcomm,4.00E+14,75,Card,inference
RB5,1.50E+13,30,System,inference
RB6,2.00E+14,30,System,inference
ATOM-Max,5.12E+14,350,Card,inference
RK3399Pro,2.40E+12,3,Chip,inference
SiMa.ai,9.12E+12,4,Chip,inference
EIE,1.02E+11,0.6,Chip,inference
Tetris,1.28E+11,8.42,Chip,inference
Syntiant1,2.00E+11,1.00E-02,Chip,inference
Syntiant2,6.20E+09,1.00E-02,Chip,inference
Syntiant3,3.00E+10,1.00E-01,Chip,inference
Tachyum,1.20E+16,9.50E+02,Chip,training
Greyskull,3.68E+14,75,Card,inference
Wormhole,4.30E+14,160,Card,inference
Blackhole,7.74E+14,300,Card,inference
TeslaFSD,7.20E+13,72,System,inference
DojoD1,3.60E+14,600,Chip,training
TexInst,8.00E+12,20,Chip,inference
Toshiba,2.00E+13,10,System,inference
Tianjic,1.21E+12,0.95,Chip,inference
TsunAImi,2.00E+15,400,Card,inference
xcore.ai,5.12E+10,1,Chip,inference
