model,release_date,resolved_fraction
GPT-4o,2024-11-20,0.30991735537190085
Claude 3.7 Sonnet,2025-02-24,0.609504132231405
GPT-4.1,2025-04-14,0.48541666666666666
o3,2025-04-16,0.6231884057971014
Claude Opus 4,2025-05-22,0.7066115702479339
Gemini 2.5 Pro (Jun 2025),2025-06-17,0.5755693581780539
Claude Opus 4.1,2025-08-05,0.7334710743801653
GPT-5,2025-08-07,0.7355371900826446
GPT-5,2025-08-07,0.7148760330578512
GPT-5 mini,2025-08-07,0.6466942148760331
Claude Sonnet 4.5,2025-09-29,0.7128099173553719
GPT-5.1,2025-11-13,0.6797520661157025
GPT-5.1,2025-11-13,0.6590909090909091
Gemini 3 Pro,2025-11-18,0.7293388429752066
Claude Opus 4.5,2025-11-24,0.7665289256198347
GPT-5.2,2025-12-11,0.737603305785124
Gemini 3 Flash,2025-12-17,0.7541322314049587
Kimi K2.5,2026-01-27,0.737603305785124
GPT-5.3 Codex,2026-02-05,0.7479338842975206
Claude Opus 4.6,2026-02-05,0.7871900826446281
Claude Opus 4.6,2026-02-05,0.756198347107438
GLM-5,2026-02-11,0.7207792207792207
Claude Sonnet 4.6,2026-02-17,0.7520661157024794
Gemini 3.1 Pro,2026-02-19,0.756198347107438
GPT-5.4,2026-03-05,0.768595041322314
Qwen 3.6 Plus,2026-03-31,0.5785123966942148
GLM-5.1,2026-04-07,0.7417
Claude Opus 4.7,2026-04-16,0.8347107438016529
Qwen 3.6 Max (Preview),2026-04-20,0.7665289256198347
Kimi K2.6,2026-04-20,0.7665289256198347
GPT-5.5,2026-04-23,0.8057851239669421
DeepSeek-V4-Pro,2026-04-24,0.7763975155279503
Qwen3.7-Max,2026-05-19,0.7727272727272727
Gemini 3.5 Flash,2026-05-19,0.7933884297520661
GLM-5.2,2026-06-16,0.787
