model,publication_date,training_compute_flop,frontier
Inkling,2026-07-15,1.845e+24,0
Nemotron 3 Ultra,2026-06-04,6.6e+24,0
Composer 2.5,2026-05-18,3.87e+25,0
DeepSeek-V4-Pro,2026-04-24,9.702e+24,0
DeepSeek-V4-Flash,2026-04-24,2.496e+24,0
MiMo-V2.5-Pro,2026-04-23,6.804e+24,0
EXAONE 4.5,2026-04-09,3.85e+24,0
Composer 2,2026-03-19,2.32e+25,0
GLM-5,2026-02-17,6.84e+24,0
Kimi K2.5,2026-02-02,5.8e+24,0
K-EXAONE,2025-12-31,1.52e+24,0
GLM-4.7,2025-12-22,4.42e+24,0
Nemotron 3-Nano-30B-A3B,2025-12-15,4.8e+23,0
Olmo 3,2025-11-20,1.1e+24,0
Kimi K2 Thinking,2025-11-06,4.2e+24,0
Ling-1T,2025-10-10,6.000001e+24,0
GLM-4.6,2025-09-30,4.42e+24,0
Qwen3-Omni-30B-A3B,2025-09-22,3.6e+22,0
AgentFounder-30B,2025-09-16,6.5367e+23,0
Qwen3-Max,2025-09-05,1.512e+25,0
LongCat-Flash,2025-09-01,3.726e+24,0
GPT-5,2025-08-07,6.6e+25,0
gpt-oss-120b,2025-08-05,4.94e+24,0
gpt-oss-20b,2025-08-05,5.49e+23,0
GLM-4.5,2025-08-05,4.42e+24,0
Qwen3-235B-A22B-Thinking (Jul 2025),2025-07-25,4.752e+24,0
Qwen3-235B-A22B (Jul 2025),2025-07-25,4.752e+24,0
Qwen3-Coder-480B-A35B,2025-07-22,1.575e+24,0
EXAONE 4.0 (32B),2025-07-15,2.69000000000001e+24,0
Kimi K2,2025-07-11,2.976e+24,0
Grok 4,2025-07-09,5.0000000000001e+26,1
FGN,2025-06-12,9.618950880000001e+21,0
DeepSeek-R1 (May 2025),2025-05-28,4.020010000000001e+24,0
Seed1.5-VL,2025-05-11,1.388556e+24,0
Qwen3-235B-A22B,2025-04-29,4.752e+24,0
Pangu Ultra,2025-04-10,1.0692e+25,0
Llama 4 Scout,2025-04-05,4.08e+24,0
Llama 4 Maverick,2025-04-05,2.244000000001e+24,0
Llama 4 Behemoth (preview),2025-04-05,5.18400000000001e+25,1
DeepSeek-V3 (Mar 2025),2025-03-24,3.3e+24,0
EXAONE Deep 32B,2025-03-16,1.26e+24,0
Hunyuan-TurboS,2025-03-11,5.4e+24,0
QwQ-32B,2025-03-06,3.51e+24,0
GPT-4.5,2025-02-27,3.8e+26,1
Claude 3.7 Sonnet,2025-02-24,3.35e+25,0
Grok 3,2025-02-17,3.5e+26,1
Eagle 2,2025-01-20,4.7156e+22,0
DeepSeek-R1,2025-01-20,3.5e+24,0
DeepSeek-V3,2024-12-24,3.3e+24,0
EXAONE 3.5 32B,2024-12-09,1.25e+24,0
Llama 3.3 70B,2024-12-06,6.8649768e+24,0
Amazon Nova Pro,2024-12-03,6.000010000000001e+24,0
Hunyuan-Large,2024-11-06,3.49237e+24,0
Doubao-pro,2024-10-28,2.505e+25,0
NVLM-X 72B,2024-10-22,3.0398181e+24,0
NVLM-H 72B,2024-10-22,3.02e+24,0
NVLM-D 72B,2024-10-22,3.02e+24,0
Yi-Lightning,2024-10-18,1.5e+24,0
CHAI-1,2024-10-15,7.7605724e+21,0
RDT-1B,2024-10-10,4.06e+22,0
Movie Gen Video,2024-10-04,1.65e+24,0
Llama 3.2 11B,2024-09-24,5.79e+23,0
Telechat2-115B,2024-09-20,6.9e+24,0
Qwen2.5-72B,2024-09-19,7.8e+24,0
Qwen2.5 Instruct (72B),2024-09-19,7.8516e+24,0
Qwen2.5-32B,2024-09-17,3.51e+24,0
DeepSeek-V2.5,2024-09-06,1.7892e+24,0
Grok-2,2024-08-13,2.96e+25,1
LLaVA-OV-72B,2024-08-06,3.036551985824e+24,0
AFM-server,2024-07-29,4.3e+24,0
AFM-on-device,2024-07-29,4.5126e+23,0
Mistral Large 2,2024-07-24,2.13e+25,0
Llama 3.1-405B,2024-07-23,3.8e+25,1
ESM3 (98B),2024-06-25,1.07e+24,0
Claude 3.5 Sonnet,2024-06-20,2.700000000000001e+25,1
DeepSeek-Coder-V2 236B,2024-06-17,1.2852e+24,0
Nemotron-4 340B,2024-06-14,1.8e+25,1
OpenVLA,2024-06-13,1.1e+23,0
Llama-3.1-Nemotron-70B-Instruct,2024-06-12,7.929e+24,0
Qwen2-72B,2024-06-07,3.02e+24,0
ALLaM adapted 70B,2024-05-21,1.062e+24,0
Octo-Base,2024-05-20,5.85e+20,0
Yi-Large,2024-05-13,1.8e+24,0
AlphaFold 3,2024-05-08,4.1405645e+22,0
VILA1.5-13B,2024-05-03,2.3003136e+21,0
GenCast,2024-05-01,8.169984e+20,0
Llama 3-70B,2024-04-18,7.861e+24,0
Reka Core,2024-04-15,8.400010000000001e+24,0
DBRX,2024-03-27,2.6e+24,0
MM1-30B,2024-03-14,4.86e+23,0
Inflection-2.5,2024-03-07,8.000001e+24,0
Aramco Metabrain AI,2024-03-04,1.05e+25,0
Mistral Large,2024-02-26,1.12e+25,0
MegaScale (Production),2024-02-23,3.9e+24,0
Stable Diffusion 3,2024-02-22,5.0000000000000004e+22,0
Qwen1.5-72B,2024-02-04,1.3e+24,0
GQA-8-XXL,2023-12-23,3.4912896e+22,0
nekomata-14b,2023-12-21,2.5562e+23,0
FunSearch,2023-12-14,3.87e+23,0
CogAgent,2023-12-14,6.707e+22,0
VILA-13B,2023-12-12,2.3003136e+21,0
Mixtral 8x7B,2023-12-11,7.74e+23,0
Llama Guard,2023-12-07,1.6e+23,0
Gemini 1.0 Ultra,2023-12-06,5.0000000001e+25,1
Qwen-72B,2023-11-30,1.3e+24,0
Inflection-2,2023-11-22,1.001e+25,1
Nemotron-3-8B,2023-11-15,1.8e+23,0
GraphCast,2023-11-14,2.1000000000000002e+22,0
Volcano 13B,2023-11-13,4.56e+22,0
SPHINX (Llama 2 13B),2023-11-13,3.04e+22,0
RoFormer,2023-11-08,2.162688e+18,0
MultiBand Diffusion,2023-11-08,2.6e+19,0
CogVLM-17B,2023-11-06,6.331e+22,0
LLaVA 1.5,2023-11-05,7.807e+22,0
Grok-1,2023-11-04,2.90000000001e+24,0
Yi-34B,2023-11-02,6.1e+23,0
Skywork-13B,2023-10-30,2.5e+23,0
ChatGLM3-6B,2023-10-27,5.04e+22,0
CODEFUSION (Python),2023-10-26,7.92e+18,0
RoseTTAFold All-Atom (RFAA),2023-10-09,2.14e+20,0
FinGPT-13B,2023-10-07,1.6e+23,0
Amazon Titan,2023-09-28,4.8e+24,1
Falcon-180B,2023-09-06,3.76e+24,1
Swift,2023-08-30,5.337e+16,0
Jais,2023-08-29,4.8946763e+22,0
PeptideBERT,2023-08-28,4.9e+16,0
GGNN,2023-08-05,7.56e+21,0
AudioLM,2023-07-26,3.9e+18,0
Llama 2-70B,2023-07-18,8.1e+23,0
Llama 2-7B,2023-07-18,8.4e+22,0
Claude 2,2023-07-11,3.866e+24,1
xTrimoPGLM -100B,2023-07-06,6.2e+23,0
InternLM,2023-07-06,9.984e+23,0
Pangu-Weather,2023-07-05,3.98e+22,0
HyenaDNA,2023-06-27,1.811e+21,0
GPT-4 (Jun 2023),2023-06-13,2.1e+25,1
PaLI-X,2023-05-29,5.6e+23,0
ONE-PEACE,2023-05-18,1.8e+20,0
InstructBLIP,2023-05-11,1.94e+20,0
PaLM 2,2023-05-10,7.34e+24,1
StarCoder,2023-05-09,8.46e+22,0
LLaVA,2023-04-17,7.8049e+22,0
DINOv2,2023-04-14,7.41851136e+21,0
Incoder-6.7B,2023-04-09,3.00001e+21,0
Segment Anything Model,2023-04-05,7.8e+21,0
BloombergGPT,2023-03-30,2.36e+23,0
VideoMAE V2,2023-03-29,9.7e+21,0
SigLIP 400M,2023-03-27,4.9467301e+21,0
PanGu-Σ,2023-03-20,4.67e+23,0
GPT-4 (Mar 2023),2023-03-15,2.1e+25,1
Falcon-40B,2023-03-15,2.4e+23,0
AudioGen,2023-03-05,9.5e+21,0
DiT-XL/2,2023-03-02,6e+20,0
LLaMA-65B,2023-02-24,5.5e+23,0
ViT-22B,2023-02-10,1.93248e+23,0
BLIP-2 (Q-Former),2023-01-30,1.20000000001e+21,0
DDPM-IP (CelebA),2023-01-27,3.5e+20,0
