source_id,venue,year,ordinal,volume,title,publisher,isbn,dblp_key,dblp_url,ee_url
isca-2025-1,ISCA,2025,1,ISCA,"Proceedings of the 52nd Annual International Symposium on Computer Architecture, ISCA 2025, Tokyo, Japan, June 21-25, 2025",ACM,979-8-4007-1261-6,conf/isca/2025,https://dblp.org/db/conf/isca/isca2025.html,https://doi.org/10.1145/3695053
isca-2015-1,ISCA,2015,1,ISCA,"Proceedings of the 42nd Annual International Symposium on Computer Architecture, Portland, OR, USA, June 13-17, 2015",ACM,978-1-4503-3402-0,conf/isca/2015,https://dblp.org/db/conf/isca/isca2015.html,https://doi.org/10.1145/2749469
isca-2005-1,ISCA,2005,1,ISCA,"32st International Symposium on Computer Architecture (ISCA 2005), 4-8 June 2005, Madison, Wisconsin, USA",IEEE Computer Society,978-0-7695-2270-8,conf/isca/2005,https://dblp.org/db/conf/isca/isca2005.html,https://ieeexplore.ieee.org/xpl/conhome/9793/proceeding
isca-1973-1,ISCA,1973,1,ISCA,"Proceedings of the 1st Annual Symposium on Computer Architecture, Gainesville, FL, USA, December 1973",ACM,978-1-4503-7428-6,conf/isca/1973,https://dblp.org/db/conf/isca/isca73.html,https://doi.org/10.1145/800123
micro-2025-1,MICRO,2025,1,MICRO,"Proceedings of the 58th IEEE/ACM International Symposium on Microarchitecture, MICRO 2025, Seoul, Republic of Korea, October 18-22, 2025",ACM,979-8-4007-1573-0,conf/micro/2025,https://dblp.org/db/conf/micro/micro2025.html,https://doi.org/10.1145/3725843
micro-2015-1,MICRO,2015,1,MICRO,"Proceedings of the 48th International Symposium on Microarchitecture, MICRO 2015, Waikiki, HI, USA, December 5-9, 2015",ACM,978-1-4503-4034-2,conf/micro/2015,https://dblp.org/db/conf/micro/micro2015.html,https://doi.org/10.1145/2830772
micro-2005-1,MICRO,2005,1,MICRO,"38th Annual IEEE/ACM International Symposium on Microarchitecture (MICRO-38 2005), 12-16 November 2005, Barcelona, Spain",IEEE Computer Society,0-7695-2440-0,conf/micro/2005,https://dblp.org/db/conf/micro/micro2005.html,https://ieeexplore.ieee.org/xpl/conhome/10341/proceeding
micro-1972-1,MICRO,1972,1,MICRO,"Conference record of the 5th annual workshop on Microprogramming, MICRO 1972, Urbana-Champaign, Illinois, USA, September 25-26, 1972",ACM,,conf/micro/1972,https://dblp.org/db/conf/micro/micro1972.html,http://dl.acm.org/citation.cfm?id=776378
hpca-2026-1,HPCA,2026,1,HPCA,"IEEE International Symposium on High Performance Computer Architecture, HPCA 2026, Sydney, Australia, January 31 - Feb. 4, 2026",IEEE,979-8-3315-9302-5,conf/hpca/2026,https://dblp.org/db/conf/hpca/hpca2026.html,https://doi.org/10.1109/HPCA68181.2026
hpca-2015-1,HPCA,2015,1,HPCA,"21st IEEE International Symposium on High Performance Computer Architecture, HPCA 2015, Burlingame, CA, USA, February 7-11, 2015",IEEE Computer Society,978-1-4799-8930-0,conf/hpca/2015,https://dblp.org/db/conf/hpca/hpca2015.html,https://ieeexplore.ieee.org/xpl/conhome/7048058/proceeding
hpca-2005-1,HPCA,2005,1,HPCA,"11th International Conference on High-Performance Computer Architecture (HPCA-11 2005), 12-16 February 2005, San Francisco, CA, USA",IEEE Computer Society,0-7695-2275-0,conf/hpca/2005,https://dblp.org/db/conf/hpca/hpca2005.html,https://ieeexplore.ieee.org/xpl/conhome/9519/proceeding
hpca-1995-1,HPCA,1995,1,HPCA,"Proceedings of the 1st IEEE Symposium on High-Performance Computer Architecture (HPCA 1995), Raleigh, North Carolina, USA, January 22-25, 1995",IEEE Computer Society,0-8186-6445-2,conf/hpca/1995,https://dblp.org/db/conf/hpca/hpca1995.html,https://ieeexplore.ieee.org/xpl/conhome/3040/proceeding
asplos-2026-1,ASPLOS,2026,1,ASPLOS (1),"Proceedings of the 31st ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 1, ASPLOS 2026, Pittsburgh, PA, USA, March 22-26, 2026",ACM,979-8-4007-2165-6,conf/asplos/2026-1,https://dblp.org/db/conf/asplos/asplos2026-1.html,https://doi.org/10.1145/3760250
asplos-2026-2,ASPLOS,2026,2,ASPLOS (2),"Proceedings of the 31st ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 2, ASPLOS 2026, Pittsburgh, PA, USA, March 22-26, 2026",ACM,979-8-4007-2359-9,conf/asplos/2026-2,https://dblp.org/db/conf/asplos/asplos2026-2.html,https://doi.org/10.1145/3779212
asplos-2015-1,ASPLOS,2015,1,ASPLOS,"Proceedings of the Twentieth International Conference on Architectural Support for Programming Languages and Operating Systems, ASPLOS 2015, Istanbul, Turkey, March 14-18, 2015",ACM,978-1-4503-2835-7,conf/asplos/2015,https://dblp.org/db/conf/asplos/asplos2015.html,https://doi.org/10.1145/2694344
asplos-2006-1,ASPLOS,2006,1,ASPLOS,"Proceedings of the 12th International Conference on Architectural Support for Programming Languages and Operating Systems, ASPLOS 2006, San Jose, CA, USA, October 21-25, 2006",ACM,1-59593-451-0,conf/asplos/2006,https://dblp.org/db/conf/asplos/asplos2006.html,https://doi.org/10.1145/1168857
